model_name,iteration,F1,ROC,acc-class-1,acc-class-2,SEN,SPE,MCC,TPR,FPR,AUC
KNN,9,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.66666667 1.        ],[0. 0. 1.],0.8333333333333333
OneClassSVM,9,0.48571,0.5,0.5,0.5,0.66667,0.33333,0.0,[0.         0.         0.33333333 0.33333333 1.        ],[0.         0.33333333 0.33333333 1.         1.        ],0.22222222222222224
LocalOutlierFactor,9,0.48571,0.5,0.5,0.5,0.66667,0.33333,0.0,[0.         0.33333333 0.33333333 1.         1.        ],[0.         0.         0.33333333 0.33333333 1.        ],0.7777777777777779
IsolationForest,9,0.33333,0.5,0.5,,1.0,0.0,0.0,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],0.0
Xgboost,9,0.48571,0.5,0.5,0.5,0.33333,0.66667,0.0,[0.         0.33333333 0.33333333 0.66666667 0.66666667 1.        ],[0.         0.         0.33333333 0.33333333 1.         1.        ],0.5555555555555556
RandomForest,10,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,[0.         0.33333333 0.66666667 1.        ],[0.         0.         0.66666667 1.        ],0.6111111111111112
DecisionTree,10,0.66667,0.66667,0.6666666666666666,0.6666666666666666,0.66667,0.66667,0.33333,[0.         0.66666667 1.        ],[0.         0.33333333 1.        ],0.6666666666666667
KNN,10,0.625,0.66667,1.0,0.6,0.33333,1.0,0.44721,[0.         0.33333333 1.         1.        ],[0.         0.         0.66666667 1.        ],0.7777777777777778
OneClassSVM,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,[0. 0. 0. 1.],[0.         0.33333333 1.         1.        ],0.0
LocalOutlierFactor,10,0.14286,0.16667,0.25,0.0,0.33333,0.0,-0.70711,[0.         0.33333333 1.         1.        ],[0. 0. 0. 1.],1.0
IsolationForest,10,0.82857,0.83333,1.0,0.75,0.66667,1.0,0.70711,[0.         0.         0.         0.33333333 0.33333333 1.        ],[0.         0.33333333 0.66666667 0.66666667 1.         1.        ],0.11111111111111112
Xgboost,10,0.33333,0.5,,0.5,0.0,1.0,0.0,[0.         0.         0.33333333 1.         1.        ],[0.         0.33333333 0.33333333 0.33333333 1.        ],0.6666666666666667
